용도,일반명(한글),일반명(영문),CAS No,화학명,구조식,용해도,분자식,비점,분자량,증기압,외관,KowLogP,융점,밀도,코드명,코드설명,계통명
살균,가스가마이신,Kasugamycin,19408-46-9,"[5-amino-2-methyl-6-(2,3,4,5,6-pentahydroxycyclohexyloxy)tetrahydropyran-3-yl]amino-a-iminoacetic acid hydrochloride hydrate",,,C14H28ClN3O10,,433.8,,무색의 침상 결정,,,,라3,단백질 합성 저해(개시기) (헥소피라노실계),antibiotic fungicide
살충,감마사이할로트린,Gamma-cyhalothrin,76703-62-3,"(S)-α-cyano-3-phenoxybenzyl (1R,3R)-3-[(Z)-2-chloro-3,3,3-trifluoropropenyl]-2,2-dimethylcyclopropanecarboxylate or (S)-α-cyano-3-phenoxybenzyl (1R)-cis-3-[(Z)-2-chloro-3,3,3-trifluoropropenyl]-2,2-dimethylcyclopropanecarboxylate",,In water 2.1 × 10^-3 mg/L (20℃),C23H19ClF3NO3,,449.9,,백색 결정성 고체,,55.6℃,1.32,3a,합성피레스로이드계,pyrethroid ester
살충,감마에이치시에이치,gamma-HCH,58-89-9,"1α,2α,3β,4α,5α,6β-hexachlorocyclohexane",,"In water 8.52 (25℃), 8.35 (pH 5, 25℃) (both in mg/L). In acetone >200, methanol 29-40, xylene >250, ethyl acetate <200, n-heptane 10-14 (all in g/L, 20℃).",C6H6Cl6,,290.8,,무색 결정,3.5,112.86℃,1.88 (20℃),2a,유기염소 시클로알칸계,organochlorine
살충,고시플루러,gossyplure,50933-33-0,"1:1 mixture of (7Z,11E)- and (7Z,11Z)-hexadeca-7,11-dien-1-yl acetate or 1:1 mixture of (Z,E)- and (Z,Z)-hexadeca-7,11-dien-1-yl acetate",,In water 0.2 ppm (25℃). Soluble in common organic solvents.,C18H32O2,"146/1, 191-195/4.5 (℃/mmHg)",280.5,"146/1, 191-195/4.5 (℃/mmHg)",무색 또는(or) 담황색 액체,>4,<25℃,0.885 (20℃),미분류,작용기구 불명,straight chain lepidopteran pheromones
살균,구아자틴,guazatine,108173-90-6,"A mixture of the reaction products from polyamines, comprising mainly octamethylenediamine, iminodi(octamethylene)diamine and octamethylenebis(imino-octamethylene)diamine, and carbamonitrile",,,C18H41N7,,355.6,,,,,,카,"보호살균제 무기유황제, 무기구리제, 유기비소제 등",aliphatic nitrogen
살균,구아자틴아세테이트,guazatine acetates,115044-19-4,guazatine acetate (CAS),,"In water >3 kg/L (room temp.).  In methanol 510, N-methylpyrrolidone 1000, DMSO, DMF 500, ethanol c. 200, dichloromethane and n-hexane 0.1 (all in g/L, 20℃).  Very sparingly soluble in xylene and other hydrocarbons.",C24H53N7O6,,535.4 (EPA ACToR),,황색~갈색 액체 (tech.),"-1.2 (pH 3), -0.9 (pH 10)",,1.09 (20℃),미분류,작용기구 불명,aliphatic nitrogen
제초,글루포시네이트,glufosinate,51276-47-2,(2RS)-2-amino-4-[hydroxy(methyl)phosphinoyl]butyric acid or 4-[hydroxy(methyl)phosphinoyl]-DL-homoalanine,,,C5H12NO4P,,181.1,,,-3.960,230℃ (dec),,H,글루타민 합성효소 저해,organophosphorus
제초,글루포시네이트-피-소듐,Glufosinate-P-sodium,70033-13-5,sodium (2S)-2-amino-4-(methylphosphinato)butyric acid,,,C5H11NNaO4P,,203.1,,,,,,H,글루타민 합성효소 저해,organophosphorus
제초,글루포시네이트암모늄,Glufosinate-ammonium,77182-82-2,ammonium 4-[hydroxy(methyl)phosphinoyl]-DL-homoalaninate,,"&#38;quotIn water &#38;gt× 10^5 (pH5-9) mg/L (20-25℃).   In acetone 0.16, ethanol 0.65,ethyl acetate 0.14 , hexane0.2,toluene0.14(all in g/L, 20-25℃). &#38;quot",C5H15N2O4P,,198.2,,백색 고체,"&#38;ampgt0.1 (pH 7, 22℃)",215℃,1.4 (20℃),H10,글루타민 합성효소 저해,organophosphorus
제초,글루포시네이트피,Glufosinate-p,35597-44-5,(S)-2-amino-4-[hydroxy(methyl)phosphinoyl]butyric acidLhomoalanin-4-yl(methyl)phosphinic acid,,물:500g/L이상往0°C)，Aceton:0.01g/L이하(20°C) Toluen:0.01g/L 이하 (20°C),C5H12NO4P,열분해로 측정불가,181.1,열분해로 측정불가,백색 분말,-2.73(25°C),210.6-213.2,1.469g/cm3(20°C),H10,글루타민 합성효소 저해,organophosphorus
제초,글리포세이트,Glyphosate,1071-83-6,N-(phosphonomethyl)glycine,,"In water 10.5 g/L (pH 1.9, 20℃). In acetone 0.078, dichloromethane 0.233, ethyl acetate 0.012, methanol 0.231, propan-2-ol 0.02 and toluene 0.036 g/L (20℃).  The alkali-metal and amine salts are readily soluble in water.",C3H8NO5P,,169.1,,백색 무취 결정,"<-3.2 (pH 5-9, 20℃)",189.5℃,1.704 (20℃),G,방향족 아미노산 생합성 저해,organophosphorus
제초,글리포세이트암모늄,Glyphosate-monoammonium,40465-66-5,ammonium N-[(hydroxyphosphinato)methyl]glycine,,,C3H11N2O5P,"Decomp. >190℃, without melting",186.1,"Decomp. >190℃, without melting",백색 무취 분말,,&#38;ampgt190℃ (dec),1.433 (22℃),H09,방향족 아미노산 생합성 저해,organophosphorus
제초,글리포세이트이소프로필아민,Glyphosate-isopropylammonium,38641-94-0,N-(phosphonomethyl)glycine - isopropylamine (1&#58;1)isopropylammonium N-(phosphonomethyl)glycinate,,,C6H17N2O5P,Decomposes without boiling,228.2,Decomposes without boiling,무취 백색 분말,,"Occurs in 2 steps, 143-164℃ and 189-223℃",1.482 (20℃),H09,방향족 아미노산 생합성 저해,organophosphorus
제초,글리포세이트포타슘,Glyphosate-potassium,39600-42-5,potassium N-[(hydroxyphosphinato)methyl]glycine,,,C3H7NO5PK,200℃ 이상에서 분해,207.2 (monopotassium salt),200℃ 이상에서 분해,무색 결정,,219.8℃,,H09,방향족 아미노산 생합성 저해,organophosphorus
살균,나밤,Nabam,142-59-6,disodium ethylenebis(dithiocarbamate),,In water c. 200 g/L (room temp.). Insoluble in common organic solvents.,C4H6N2Na2S4,,256.3,,무색 결정 (수화물),-4.240,가열하면 융해되지 않고 분해됨,,미분류,작용기구 불명,dithiocarbamate
